关键词,简介,详解
启发式搜索,利用经验规则指导的优化算法,
局部最优,搜索过程中找到的局部最佳解决方案,
全局最优,整个搜索空间中的最佳解决方案,
评分函数,评估网络结构优劣的数学函数,
结构优化,通过调整网络连接提高模型性能的过程,
先验分布,在观测数据前对参数的假设分布,
后验分布,结合数据和先验得到的参数更新分布,
概率传播,在图中传递概率信息的推理机制,
证据传播,将观察证据的影响扩散到全网的推理过程,
软证据,对变量取值的不确定性观察,
硬证据,确定性的变量观察结果,
推理效率,完成概率计算所需的时间和资源,
计算复杂度,算法所需资源随问题规模的增长关系,
模型解释性,人类理解模型决策过程的难易程度,
不确定性建模,用概率方法处理不完整知识的技术,
因果推理,分析变量间因果关系的推断方法,
相关性分析,研究变量间统计关联的方法,
概率校准,调整模型输出与实际频率一致的过程,
参数优化,调整模型参数以提高性能的技术,
结构约束,构建网络时必须满足的拓扑限制,
领域约束,专家知识对网络结构的先验限制,
数据完备性,训练数据覆盖所有可能情况的程度,
缺失数据,样本中部分变量值未知的情况,
隐变量,未观测但对系统有影响的潜在变量,
观测变量,可以直接测量或观察的显式变量,
模型选择,从候选模型中选择最优结构的过程,
超参数,控制模型训练过程的外部配置参数,
训练集,用于学习模型参数的样本数据,
测试集,评估模型泛化能力的独立数据,
验证集,调整模型超参数使用的中间数据集,
过采样,为平衡类别增加少数类样本的技术,
欠采样,为平衡类别减少多数类样本的技术,
正则化,防止过拟合的模型约束技术,
交叉验证,通过数据分割评估模型性能的方法,
模型评估,衡量模型预测准确性的系统过程,
准确率,模型预测正确的样本比例,
召回率,模型找出真正例占实际正例的比例,
F1分数,准确率和召回率的调和平均数,
ROC曲线,展示分类器性能的二维图表,
AUC值,ROC曲线下的面积量化指标,
混淆矩阵,展示分类结果与真实情况的对照表,
对数似然,使用对数转换的似然函数形式,
KL散度,衡量两个概率分布差异的度量,
信息增益,特征对目标变量预测能力的提升,
熵,随机变量不确定性的信息论度量,
互信息,两个变量共享的信息量度量,
特征选择,选取对预测最有用的变量子集,
维度灾难,高维空间数据分析面临的困难,
稀疏数据,大多数取值为零的数据分布,
平滑技术,处理零概率问题的统计方法,
先验概率,不考虑证据时事件的初始概率,
后验概率,结合证据后事件的更新概率,
似然比,两种假设下数据概率的比值,
贝叶斯因子,模型比较的贝叶斯统计量,
马尔科夫性质,未来只依赖当前状态的特性,
马尔科夫边界,保持变量条件独立的最小节点集,
图分割,将复杂图分解为简单子图的技术,
树结构,无环且连通的无向图拓扑,
团结构,图中全连接的节点子集,
因子分解,将联合分布分解为局部因子的过程,
势函数,马尔科夫网中定义团能量的函数,
配分函数,归一化概率分布的全局常数,
消息传递,图模型中节点间交换信息的机制,
信念传播,在图上迭代更新节点信念的算法,
联合树算法,将贝叶斯网转为树结构进行推理的方法,
动态规划,分阶段解决复杂问题的优化技术,
贪心算法,每步选择局部最优的启发式方法,
模拟退火,受物理启发的全局优化算法,
遗传算法,模拟自然选择的进化优化方法,
并行计算,同时使用多个处理器加速运算,
分布式计算,跨多台机器协同完成任务,
GPU加速,利用图形处理器并行计算,
云计算,通过网络提供可扩展计算资源,
边缘计算,在数据源头就近处理的计算模式,
实时推理,满足严格时间约束的快速预测,
批量推理,同时处理多个查询的高效计算,
增量学习,用新数据逐步更新模型的技术,
在线学习,持续从数据流中更新模型,
迁移学习,将已学知识应用到新任务,
多任务学习,同时优化多个相关任务,
深度贝叶斯,结合深度学习和贝叶斯方法,
神经过程,用神经网络建模随机过程,
变分推断,用简单分布近似复杂后验的方法,
蒙特卡洛树搜索,结合随机采样的决策树搜索,
强化学习,通过试错学习最优策略,
策略梯度,直接优化策略函数的强化学习方法,
值函数,评估状态或动作价值的函数,
Q学习,基于值函数的强化学习算法,
探索利用,平衡尝试新动作和已知最优的困境,
奖励函数,量化行为好坏的反馈信号,
状态空间,所有可能系统状态的集合,
动作空间,智能体可采取的所有行动,
马尔科夫决策过程,强化学习的数学框架,
部分可观测,系统状态不完全可见的情况,
隐马尔科夫模型,处理序列数据的概率图模型,
卡尔曼滤波,线性高斯系统的状态估计方法,
粒子滤波,非线性非高斯系统的近似推理,
时间序列,按时间顺序排列的数据点,
动态贝叶斯网,建模时序数据的扩展贝叶斯网,
结构方程,描述变量间因果关系的数学模型,
因果图,表示变量间因果关系的特殊图模型,
反事实推理,假设条件下可能结果的推断,
工具变量,解决内生性问题的因果推断技术,
双重差分,评估政策影响的因果分析方法,
倾向得分,平衡观察数据中协变量的技术,
中介分析,研究因果路径中中间变量的方法,
混杂因素,同时影响原因和结果的变量,
选择偏差,样本不代表总体的系统误差,
生存分析,研究事件发生时间的统计方法,
竞争风险,多种可能终点的生存分析,
纵向数据,对同一样本多次观测的数据,
面板数据,跨时间和跨个体的二维数据,
多层次模型,处理嵌套数据结构的方法,
随机效应,考虑个体差异的统计模型,
固定效应,控制时间不变混杂的方法,
贝叶斯分层,多层次的贝叶斯统计模型,
非参数方法,不假设固定形式的统计模型,
高斯过程,定义在函数空间的概率分布,
狄利克雷过程,无限维度的概率分布,
概率编程,声明式定义概率模型的范式,
可解释AI,提供人类可理解的决策依据,
公平性,确保模型不歧视特定群体,
鲁棒性,模型对噪声和对抗的抵抗力,
隐私保护,防止数据中敏感信息泄露,
联邦学习,分布式保护隐私的机器学习,
差分隐私,量化隐私保护的数学框架,
安全多方计算,保护隐私的协同计算方法,
同态加密,在加密数据上直接计算,
区块链,去中心化的可信数据存储,
智能合约,自动执行的数字化协议,
物联网,物理设备联网的数据采集,
边缘智能,终端设备的本地化决策,
数字孪生,物理实体的虚拟映射模型,
元宇宙,融合虚拟现实的数字空间,
知识图谱,结构化存储的语义网络,
本体论,领域概念的形式化规范,
语义网,机器可理解的网络数据,
自然语言处理,计算机理解人类语言,
计算机视觉,机器感知和理解图像,
语音识别,将语音转换为文本的技术,
时间序列预测,基于历史预测未来,
异常检测,识别不符合模式的数据点,
聚类分析,无监督的数据分组技术,
分类模型,预测离散标签的监督学习,
回归模型,预测连续值的监督学习,
降维技术,减少数据维度的算法,
特征工程,创建和选择有效特征,
模型部署,将模型投入实际应用,
模型监控,跟踪生产模型的表现,
数据漂移,输入数据分布随时间变化,
概念漂移,输入输出关系随时间变化,
持续学习,适应环境变化的模型更新,
自动机器学习,自动化模型构建过程,
神经架构搜索,自动设计神经网络结构,
超参数优化,自动调整模型配置参数,
数据增强,人工扩展训练样本的技术,
对抗样本,精心设计欺骗模型的输入,
对抗训练,提高模型鲁棒性的方法,
模型蒸馏,小模型向大模型学习的技术,
集成学习,组合多个模型提升性能,
自助聚合,通过重采样构建集成模型,
堆叠泛化,用元模型组合基模型输出,
梯度提升,迭代修正错误的集成方法,
随机森林,基于决策树的集成算法,
支持向量机,最大化间隔的分类模型,
逻辑回归,预测概率的线性分类器,
决策树,基于规则划分的树状模型,
K近邻,基于相似实例的惰性学习,
朴素贝叶斯,特征条件独立的分类器,
高斯混合,用多个高斯分布建模数据,
隐狄利克雷,主题建模的概率方法,
主成分分析,线性降维的无监督学习,
t-SNE,可视化高维数据的非线性降维,
自编码器,通过压缩重构学习表示,
生成对抗网络,通过对抗训练生成数据,
变分自编码器,带概率编码的生成模型,
流模型,通过可逆变换建模分布,
扩散模型,逐步去噪的生成方法,
对比学习,通过对比样本学习表示,
度量学习,学习有意义的距离函数,
图嵌入,将图结构映射到向量空间,
知识蒸馏,教师指导学生模型的技术,
多模态学习,融合多种数据类型,
跨模态检索,跨类型数据的相似搜索,
联邦学习,分布式隐私保护训练,
终身学习,持续积累知识不遗忘,
小样本学习,从少量样本快速学习,
零样本学习,识别未见过的类别,
自监督学习,从数据自身生成标签,
强化学习,通过奖励信号学习策略,
模仿学习,通过示范数据学习行为,
逆向强化学习,从行为推断奖励函数,
元学习,学习如何学习的技术,
神经符号,结合神经网络和符号推理,
可微分编程,自动计算梯度的代码,
张量计算,高效的多维数组运算,
自动微分,自动计算导数的技术,
计算图,表示数学运算的有向图,
反向传播,基于链式法则的梯度计算,
优化算法,调整参数最小化目标,
随机梯度,使用数据子集的优化,
动量方法,加速收敛的优化技术,
自适应学习,自动调整步长的优化器,
早停法,防止过拟合的训练策略,
批量归一化,稳定深度网络训练,
层归一化,替代批归一化的技术,
残差连接,缓解梯度消失的设计,
注意力机制,动态聚焦重要信息,
Transformer,基于自注意力的架构,
BERT,双向Transformer预训练模型,
GPT,生成式预训练Transformer模型,
卷积网络,处理网格数据的神经网络,
循环网络,处理序列数据的神经网络,
长短期记忆,带门控的循环网络,
门控单元,简化版的长短期记忆,
图网络,处理图结构数据的模型,
胶囊网络,建模部分整体关系的架构,
稀疏编码,学习基向量的表示方法,
独立成分,寻找统计独立的成分,
非负矩阵,元素非负的矩阵分解,
推荐系统,个性化推荐物品的技术,
协同过滤,基于用户行为的推荐,
内容推荐,基于物品特征的推荐,
混合推荐,结合多种方法的系统,
点击率预测,估计用户点击概率,
转化率预测,估计用户行为转化,
排序学习,优化物品排列顺序,
多臂老虎机,探索利用平衡的框架,
上下文强盗,结合特征的推荐方法,
强化推荐,通过反馈优化的系统,
知识感知,结合领域知识的推荐,
社交推荐,利用社交关系的推荐,
序列推荐,考虑历史顺序的推荐,
会话推荐,基于当前对话的推荐,
可解释推荐,提供推荐理由的系统,
公平推荐,避免偏见的推荐算法,
鲁棒推荐,抵抗攻击的健壮系统,
隐私推荐,保护用户数据的方案,
联邦推荐,分布式隐私保护推荐,
跨域推荐,迁移不同领域知识,
冷启动,新用户/物品的推荐问题,
评估指标,衡量推荐质量的标准,
准确率,推荐相关物品的比例,
召回率,覆盖相关物品的比例,
多样性,推荐结果的差异程度,
新颖性,推荐不常见物品的程度,
惊喜度,推荐意外但相关物品,
覆盖率,系统推荐物品的比例,
时效性,推荐新鲜物品的能力,
可扩展性,处理大规模数据能力,
实时性,快速生成推荐的速度,
商业指标,转化率等业务目标,
A/B测试,在线评估推荐效果,
因果推断,分析推荐的真实影响,
反事实评估,假设情况下的效果,
用户研究,通过实验收集反馈,
眼动追踪,研究用户注意力的技术,
脑电图,测量大脑活动的工具,
功能磁共振,观察大脑活动的成像,
行为分析,研究用户交互的模式,
日志分析,挖掘系统使用记录,
情感计算,识别和理解用户情绪,
人机交互,研究人与系统互动,
用户体验,用户使用产品的感受,
界面设计,系统与用户接触层面,
信息架构,组织信息的逻辑结构,
导航设计,帮助用户定位的机制,
可视化,图形化展示数据和技术,
可访问性,确保广泛用户可使用,
包容性设计,考虑多样用户需求,
多模态交互,结合多种输入方式,
语音交互,通过语音控制系统,
手势识别,理解用户肢体动作,
眼动控制,用视线操作系统,
脑机接口,直接脑信号交互,
增强现实,叠加虚拟信息到现实,
虚拟现实,完全沉浸的数字环境,
混合现实,融合虚拟现实的技术,
全息投影,三维立体显示技术,
数字人,具有人类特征的虚拟形象,
智能助理,帮助完成任务的系统,
聊天机器人,模拟对话的AI程序,
问答系统,回答用户问题的技术,
对话管理,控制对话流程的组件,
自然语言生成,计算机产生文本,
语音合成,将文本转换为语音,
语音识别,将语音转换为文本,
说话人识别,鉴别说话人身份,
情感识别,从语音分析情绪,
语音增强,提高语音质量技术,
声纹识别,基于声音的生物认证,
音乐生成,AI创作音乐的技术,
音频事件检测,识别声音场景,
图像分类,给图像分配标签,
目标检测,定位图像中的物体,
图像分割,像素级别的分类,
实例分割,区分不同物体实例,
全景分割,统一语义实例分割,
人脸识别,识别或验证身份,
表情识别,分析面部情绪,
姿态估计,检测人体关键点,
动作识别,理解视频中行为,
场景理解,分析图像场景内容,
图像生成,创建新图像的技术,
风格迁移,转换图像的风格,
超分辨率,提高图像分辨率,
图像修复,填补缺失的图像区域,
图像去噪,消除图像中的噪声,
图像增强,改善图像视觉效果,
医学影像,分析医疗扫描图像,
遥感图像,处理卫星航拍数据,
自动驾驶,车辆自主导航系统,
机器人视觉,赋予机器视觉能力,
工业检测,自动化质量检查,
增强现实,叠加信息的视觉系统,
虚拟试衣,数字化服装展示,
三维重建,从图像恢复三维结构,
立体匹配,计算视差的对应关系,
光流估计,计算像素运动矢量,
视频摘要,生成视频的紧凑表示,
视频检索,基于内容的视频搜索,
视频预测,生成未来视频帧,
视频插值,在帧之间生成中间帧,
慢动作合成,增加视频帧率,
视频稳像,消除摄像机抖动,
视频编码,压缩视频数据技术,
视频解码,解压缩视频数据,
流媒体,实时传输视频数据,
点云处理,三维空间数据处理,
网格生成,创建三维表面模型,
纹理映射,给三维模型贴图,
物理模拟,模拟现实物理规律,
刚体动力学,不可变形体运动,
柔体模拟,可变形物体运动,
流体模拟,液体气体运动模拟,
布料模拟,织物运动的效果,
毛发模拟,真实感毛发渲染,
人群模拟,大量角色的行为,
路径规划,寻找最优移动路线,
碰撞检测,判断物体间接触,
运动捕捉,记录真实运动数据,
逆向运动学,计算关节角度,
正向运动学,从关节计算位置,
行为树,控制角色行为的结构,
状态机,管理角色状态的模型,
游戏AI,游戏中智能体行为,
玩家建模,分析游戏者行为,
程序生成,算法创建游戏内容,
地形生成,自动创建游戏地图,
叙事生成,自动产生故事内容,
对话生成,创建角色对话文本,
情感计算,模拟角色情绪,
社交模拟,角色间互动建模,
虚拟生态,数字环境中的生命,
进化算法,模拟自然的优化,
群体智能,分布式集体行为,
多智能体,多个AI协同工作,
博弈论,研究策略互动的数学,
拍卖理论,资源分配机制,
机制设计,激励兼容的规则,
匹配理论,双边市场的配对,
社交网络,分析人际关系,
社区发现,识别紧密连接群体,
影响力最大化,选择关键节点,
链路预测,预测未来连接,
网络嵌入,低维表示网络节点,
动态网络,随时间变化的图,
异构图,多种类型节点和边,
知识图谱,结构化语义网络,
语义相似度,基于含义的相似,
实体链接,关联文本到知识库,
关系抽取,识别实体间关系,
事件抽取,检测文本中事件,
共指消解,确定指代同一实体,
文本分类,给文档分配类别,
情感分析,判断文本情感倾向,
主题建模,发现文本潜在主题,
文本摘要,生成内容精简版本,
机器翻译,自动翻译语言文本,
问答系统,回答自然语言问题,
对话系统,与用户交互的AI,
语音识别,将语音转为文本,
语音合成,将文本转为语音,
OCR技术,识别图像中的文字,
手写识别,识别手写体文字,
文本生成,自动产生连贯文本,
风格转换,改变文本的风格,
语法检查,检测和纠正错误,
拼写检查,识别拼写错误,
文本纠错,自动修正文本,
文本蕴含,判断逻辑关系,
语义角色,标注谓词论元结构,
词义消歧,确定词语具体含义,
命名实体,识别特定类型名词,
术语抽取,提取领域关键词,
关键词提取,找出重要词语,
文本聚类,无监督文档分组,
文本检索,查找相关文档,
信息抽取,从文本获取结构化,
文本规范化,统一文本格式,
词干提取,还原词语基本形式,
词形还原,返回词语词典形式,
停用词去除,过滤无意义词语,
分词技术,切分连续文本单元,
词性标注,标记词语语法类别,
句法分析,分析句子语法结构,
依存分析,识别词语间关系,
语义分析,理解文本的含义,
向量空间,文本的数学表示,
词嵌入,词语的分布式表示,
主题向量,文档的主题分布,
句向量,整个句子的表示,
文档向量,整篇文档的表示,
TF-IDF,词频逆文档频率,
BM25,改进的文本检索算法,
Word2Vec,预测型词向量,
GloVe,基于共现的词向量,
FastText,考虑子词的词向量,
ELMo,上下文敏感的词向量,
BERT,双向Transformer编码,
GPT,自回归语言模型,
XLNet,排列语言模型,
RoBERTa,优化的BERT模型,
ALBERT,轻量化的BERT,
T5,文本到文本转换模型,
BART,去噪自编码器模型,
Transformer,自注意力架构,
自注意力,动态权重机制,
多头注意力,并行注意力层,
位置编码,注入顺序信息,
层归一化,稳定训练的技术,
残差连接,缓解梯度消失,
前馈网络,位置级全连接,
掩码语言,遮盖部分输入,
下一句预测,判断句子关系,
微调技术,针对任务调整,
提示学习,通过提示适应,
少样本学习,少量示例适应,
零样本学习,无示例适应,
多任务学习,共享表示,
持续学习,积累新知识,
模型蒸馏,小模型学习,
数据增强,扩充训练集,
对抗训练,提高鲁棒性,
梯度裁剪,控制更新幅度,
早停法,防止过拟合,
正则化,约束模型复杂度,
Dropout,随机失活,
批归一化,标准化激活,
权重衰减,L2正则化,
标签平滑,软化目标,
混合精度,加速训练,
梯度累积,模拟大批量,
学习率调度,动态调整,
优化算法,参数更新,
随机梯度,小批量更新,
动量法,加速收敛,
Adam,自适应动量,
Adagrad,适应学习率,
RMSprop,调节梯度,
SWA,随机权重平均,
模型并行,分布式训练,
数据并行,分数据训练,
流水并行,层间并行,
混合并行,组合策略,
参数服务器,分布式存储,
AllReduce,集体通信,
梯度压缩,减少通信量,
量化训练,低精度计算,
知识蒸馏,教师学生,
剪枝技术,移除冗余,
结构化剪枝,移除组件,
非结构化剪枝,细粒度,
低秩分解,近似矩阵,
参数共享,减少冗余,
架构搜索,自动设计,
超参优化,自动调整,
神经架构,搜索空间,
进化算法,优化架构,
强化学习,控制器,
可微分搜索,梯度优化,
多目标优化,平衡指标,
硬件感知,考虑设备,
模型压缩,减小体积,
量化推理,低精度计算,
二值网络,极端量化,
三值网络,中间状态,
稀疏计算,跳过零值,
缓存优化,利用局部性,
算子融合,减少开销,
图优化,简化计算图,
编译器优化,代码生成,
推理引擎,高效执行,
模型转换,格式适配,
跨平台部署,多设备,
边缘部署,终端设备,
云端部署,远程服务,
容器化,隔离环境,
微服务,模块化架构,
持续集成,自动化测试,
持续交付,快速发布,
模型监控,性能跟踪,
数据漂移,检测变化,
概念漂移,适应变化,
异常检测,识别问题,
日志分析,故障诊断,
性能分析,优化瓶颈,
资源管理,高效利用,
自动扩展,弹性伸缩,
负载均衡,分配请求,
容错机制,处理故障,
安全防护,抵御攻击,
隐私保护,数据安全,
访问控制,权限管理,
审计跟踪,记录操作,
